1054k  223.10.39.207:8083
1041k  223.10.39.207:8082
1041k  223.10.115.195:8083
1038k  223.10.115.195:8082
503k  110.178.52.91:8085
488k  110.178.52.91:8083
446k  1.70.32.208:8085
437k  110.178.52.91:8082
333k  110.178.52.75:8083
302k  1.70.34.145:8083
296k  1.70.32.208:8082
250k  1.70.32.208:8084
234k  1.70.34.145:8085
207k  110.178.52.75:8085
196k  223.10.9.208:8083
196k  110.178.52.75:8082
195k  223.10.9.208:8085
195k  223.10.9.208:8084
192k  223.10.9.208:8082
163k  1.70.34.145:8084
132k  110.178.52.208:8082
121k  110.178.52.208:8085
120k  110.178.52.208:8083
106k  223.10.39.86:8083
106k  1.70.34.145:8082
105k  223.10.39.86:8082
